id,w,square footage,24-Hour,number,activity
00183,961.78281331,03,2,7,04
00184,84.055763395,09,1,200,18
00185,1276.538624,02,2,1,15
00186,857.77359907,04,2,2,05
00187,84.055763395,08,2,115,14
00188,1031.3463294,04,2,4,26
00189,1130.4747375,03,2,8,05
00190,880.78346233,03,2,7,15
00191,4637.8512935,02,2,0,05
00192,25.322576596,08,2,70,24
00193,9.2846065541,08,1,100,16
00194,1117.7421223,02,2,1,26
00195,1807.4628666,02,2,3,26
00196,23.251171658,08,2,700,14
00197,1807.4628666,02,2,5,05
00198,632.51710677,05,2,8,25
00199,57.230522975,07,2,200,02
00200,1197.3864068,02,2,4,15
00201,1849.1849629,02,2,10,13
00202,9.2846065541,07,1,400,16
00203,1807.4628666,03,2,5,25
00204,1300.8183306,02,2,0,26
00205,1807.4628666,03,2,7,02
00206,316.26326145,06,2,83,14
00207,1559.8286174,02,2,1,13
00208,1170.3023772,04,2,22,11
00209,15.945623796,10,1,1200,18
00210,84.055763395,08,2,169,14
00211,1791.3103533,03,2,8,15
00212,385.90781293,05,2,30,14
00213,1451.6174232,02,2,1,25
00214,545.858121,04,2,26,26
00215,157.11184884,06,2,50,25
00216,1807.4628666,04,2,20,02
00217,488.97575983,02,2,0,01
00218,259.35186162,05,1,11,18
00219,519.50232556,04,2,20,12
00220,75.266531991,07,2,200,05
00221,138.56608864,06,2,30,14
00222,48.841044419,08,2,354,02
00223,1451.6174232,02,2,1,02
00224,1729.17335,03,2,1,12
00225,1667.7551609,02,2,3,25
00226,385.90781293,04,1,4,18
00227,1807.4628666,03,2,6,26
00228,23.717553485,09,2,1500,02
00229,1145.0798138,04,2,48,08
00230,583.35116997,05,2,12,14
00231,647.9871845,04,2,26,91
00232,1031.3463294,04,2,6,12
00233,177.34464265,07,1,24,05
00234,897.68590511,03,2,10,08
00235,1729.17335,03,2,3,02
00236,1791.3103533,04,2,2,12
00237,48.841044419,08,2,900,02
00238,532.96366558,05,2,78,23
00239,1879.4560061,03,2,0,01
00240,146.02126502,07,2,20,05
00241,138.56608864,06,2,75,14
00242,183.79258523,07,1,650,02
00243,1791.3103533,02,2,2,26
00244,385.90781293,06,2,45,14
00245,503.86330813,04,2,4,14
00246,2140.9064605,02,2,6,05
00247,158.29956057,05,2,15,14
00248,53.724372726,07,2,520,02
00249,4.6524983211,10,1,600,13
00250,1867.0570666,03,2,2,05
00251,2293.5899096,03,1,3,18
00252,546.09487874,08,1,180,13
00253,1667.7551609,02,2,0,01
00254,15.945623796,08,2,175,14
00255,1655.242098,02,2,1,13
00256,810.40542332,02,2,6,15
00257,1117.7421223,04,2,65,02
00258,50.31915606,07,2,565,02
00259,1807.4628666,02,2,3,13
00260,4.9021003888,09,1,1605,16
00261,24.824633604,08,2,1000,13
00262,3231.2895441,02,2,2,06
00263,1807.4628666,04,2,1,25
00264,312.36674678,06,2,50,02
00265,1145.0798138,04,2,2,05
00266,632.51710677,04,2,1,12
00267,2140.9064605,04,2,6,14
00268,10.010882599,09,1,1000,16
00269,4.9021003888,10,1,4750,16
00270,209.09996186,06,2,200,14
